sep=,
Photos,Urls,Images
,https://www.wildberries.ru/catalog/34778563/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34778563-1.jpg
,https://www.wildberries.ru/catalog/34778564/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34778564-1.jpg
,https://www.wildberries.ru/catalog/34776591/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34776591-1.jpg
,https://www.wildberries.ru/catalog/34776590/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34776590-1.jpg
,https://www.wildberries.ru/catalog/34777459/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34777459-1.jpg
,https://www.wildberries.ru/catalog/34777458/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34777458-1.jpg
,https://www.wildberries.ru/catalog/34779363/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34779363-1.jpg
,https://www.wildberries.ru/catalog/34779361/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34779361-1.jpg
,https://www.wildberries.ru/catalog/34779362/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/34770000/34779362-1.jpg
