sep=,
Photos,Urls,Images
,https://www.wildberries.ru/catalog/45166805/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45166805-1.jpg
,https://www.wildberries.ru/catalog/45166803/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45166803-1.jpg
,https://www.wildberries.ru/catalog/45166804/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45166804-1.jpg
,https://www.wildberries.ru/catalog/45166806/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45166806-1.jpg
,https://www.wildberries.ru/catalog/45180453/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45180000/45180453-1.jpg
,https://www.wildberries.ru/catalog/45180455/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45180000/45180455-1.jpg
,https://www.wildberries.ru/catalog/45180454/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45180000/45180454-1.jpg
,https://www.wildberries.ru/catalog/45163196/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45163196-1.jpg
,https://www.wildberries.ru/catalog/45163194/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45163194-1.jpg
,https://www.wildberries.ru/catalog/45163195/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45163195-1.jpg
,https://www.wildberries.ru/catalog/45163197/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45160000/45163197-1.jpg
,https://www.wildberries.ru/catalog/45172039/detail.aspx?targetUrl=EX,https://images.wbstatic.net/big/new/45170000/45172039-1.jpg
