sep=,
Photos,Urls,Images
,https://www.wildberries.ru/catalog/38244785/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38244785-1.jpg
,https://www.wildberries.ru/catalog/38245982/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38245982-1.jpg
,https://www.wildberries.ru/catalog/41276457/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/41270000/41276457-1.jpg
,https://www.wildberries.ru/catalog/38247473/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247473-1.jpg
,https://www.wildberries.ru/catalog/38247470/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247470-1.jpg
,https://www.wildberries.ru/catalog/38247472/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247472-1.jpg
,https://www.wildberries.ru/catalog/38247474/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247474-1.jpg
,https://www.wildberries.ru/catalog/38247475/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247475-1.jpg
,https://www.wildberries.ru/catalog/38247476/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247476-1.jpg
,https://www.wildberries.ru/catalog/38247478/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247478-1.jpg
,https://www.wildberries.ru/catalog/38247469/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247469-1.jpg
,https://www.wildberries.ru/catalog/38247471/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247471-1.jpg
,https://www.wildberries.ru/catalog/38247477/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38240000/38247477-1.jpg
,https://www.wildberries.ru/catalog/38213987/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38210000/38213987-1.jpg
,https://www.wildberries.ru/catalog/38213986/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/38210000/38213986-1.jpg
,https://www.wildberries.ru/catalog/36906529/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/36900000/36906529-1.jpg
,https://www.wildberries.ru/catalog/36906528/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/36900000/36906528-1.jpg
,https://www.wildberries.ru/catalog/36906527/detail.aspx?targetUrl=BP,https://images.wbstatic.net/big/new/36900000/36906527-1.jpg
